Geneid	gene_name	Fast_A3_1Aligned.sortedByCoord.out.bam	OF_A7_1Aligned.sortedByCoord.out.bam	s_3DPF_C4_1Aligned.sortedByCoord.out.bam	OFF_A10_1Aligned.sortedByCoord.out.bam	Fast_A6_1Aligned.sortedByCoord.out.bam	OFF_A13_1Aligned.sortedByCoord.out.bam	OF_A8_1Aligned.sortedByCoord.out.bam	s_3DPF_A4_1Aligned.sortedByCoord.out.bam
DCAF1	NA	885	795	920	1439	1313	1621	901	1151
RBM15B	NA	374	475	369	613	433	544	430	360
MANF	NA	168	459	819	310	246	262	802	804
DOCK3	NA	7	0	3	0	1	3	2	1
SLC25A36	NA	713	488	1132	1177	879	1192	1151	1029
HIGD1A	NA	1585	9008	7692	2206	1670	2897	10965	9416
LOC103065089	NA	382	749	765	663	545	522	840	817
NDUFA4	NA	5271	16174	10065	6943	6776	7110	14057	10109
TMEM129	NA	1655	3478	2749	2370	2022	2296	3153	2804
LOC103064456	NA	387	923	768	712	540	736	811	795
TBRG4	NA	1114	2500	1986	1551	1415	1584	2183	2225
LOC103065816	NA	3	24	25	7	6	26	26	27
CCM2	NA	297	620	469	545	379	457	535	514
LOC103064940	NA	144	189	188	193	138	223	129	170
LOC112541142	NA	5	10	8	5	2	13	5	6
EGLN3	NA	53	90	81	41	70	152	90	67
NPAS3	NA	87	45	110	111	116	175	127	85
LOC103066763	NA	3	17	10	3	8	19	15	18
SYK	NA	214	232	219	396	169	299	491	289
LOC103067394	NA	8	12	17	16	10	16	31	15
LOC103067627	NA	0	0	0	0	0	0	0	0
LOC112541143	NA	0	0	0	0	0	0	0	0
LOC112541144	NA	1	0	0	0	0	0	0	0
LOC103068009	NA	0	0	0	0	0	0	0	0
LOC112541145	NA	1	0	0	0	0	0	0	0
LOC103049585	NA	5	69	78	23	4	9	78	65
LOC103049827	NA	4	1	5	0	1	0	3	5
LOC103050077	NA	1407	528	791	1868	2266	2431	1080	855
ESR2	NA	10	7	4	10	12	25	16	9
LOC103050569	NA	153	410	380	309	224	176	429	346
AP2S1	NA	453	719	654	639	727	676	672	700
SLC1A5	NA	42	166	103	45	46	58	224	147
FKRP	NA	157	481	289	256	226	279	364	277
STRN4	NA	1397	2536	1899	1991	1680	1865	2499	1866
PRKD2	NA	252	1024	631	600	296	293	750	639
GNG8	NA	1	0	0	0	2	0	0	2
PTGIR	NA	28	59	51	36	43	74	49	51
CALM3	NA	8710	10230	9636	11339	11327	11530	9625	10402
LOC103052990	NA	4	5	1	2	3	3	8	1
LOC103054252	NA	1241	1894	1704	1504	1609	1536	1707	1724
MGMT	NA	28	74	90	40	39	64	91	56
NUS1	NA	397	463	611	679	493	584	722	608
GOPC	NA	832	853	1096	1462	1094	1209	1338	1081
DCBLD1	NA	114	249	218	119	118	196	269	331
VGLL2	NA	0	0	0	0	2	0	0	0
TTC23L	NA	4	4	1	11	8	9	0	4
RAI14	NA	3607	2273	3956	5224	4101	6379	3898	3681
LOC112541148	NA	108	115	91	198	216	104	126	99
C1QTNF3	NA	3	0	0	0	0	4	2	0
AMACR	NA	566	694	633	751	699	713	638	522
SLC45A2	NA	55	148	63	139	147	145	68	80
LOC103057351	NA	431	817	301	479	647	1004	1000	505
RAB3A	NA	224	863	504	366	217	374	1899	701
MPV17L2	NA	119	197	167	118	103	83	123	179
HAUS8	NA	173	308	275	319	255	270	380	292
MYO9B	NA	916	874	1031	1390	1298	1498	1103	1120
ZNF414	NA	214	272	255	313	309	347	297	231
LOC103059100	NA	20	25	45	68	57	56	54	33
HTT	NA	1114	880	1043	1600	1355	2062	1132	1146
NOP14	NA	932	1014	1038	1461	1446	1359	1410	1032
LOC112541149	NA	50	49	68	42	65	65	64	72
PDLIM4	NA	6168	14328	12289	11002	7276	11435	18728	10291
LOC103060067	NA	11	25	15	12	10	25	9	6
HLF	NA	900	574	1159	1042	1080	872	1551	791
LOC112541150	NA	3	2	2	0	0	2	1	1
STXBP4	NA	341	306	422	453	417	504	486	409
PCDH19	NA	11	35	27	36	12	41	43	22
EPYC	NA	0	0	0	0	0	1	0	0
KERA	NA	9	2	5	8	1	29	3	5
LUM	NA	1549	5593	7219	5035	2099	3658	8245	7084
DCN	NA	4891	7641	9772	9341	7421	9526	10383	8593
AXDND1	NA	9	9	11	12	6	34	29	12
NPHS2	NA	1	38	0	235	220	294	0	0
TDRD5	NA	0	0	0	0	7	1	0	0
HEG1	NA	988	2063	2986	1380	1024	1461	3968	2862
SLC12A8	NA	37	104	105	55	46	33	105	106
ZNF148	NA	462	278	611	711	484	738	610	617
LOC103064367	NA	0	0	0	0	0	0	0	0
SPATA2	NA	262	170	317	409	361	439	325	314
RNF114	NA	350	434	454	569	434	605	627	512
LOC103064855	NA	75	81	81	99	76	96	86	83
ADCK1	NA	20	60	99	72	74	39	105	135
LOC103067016	NA	56	135	144	83	52	74	136	142
LOC103065090	NA	241	796	261	244	254	261	529	242
LOC112541152	NA	14	22	6	6	9	9	19	23
DNASE2	NA	87	223	118	203	96	163	210	101
SMARCA4	NA	27	168	247	50	43	54	314	234
VAV1	NA	50	198	67	157	54	93	136	85
LOC112541153	NA	0	0	2	0	1	1	2	0
LOC103067469	NA	1098	1667	1906	1781	1397	1720	2385	1930
AGBL1	NA	665	1069	522	776	891	1163	643	510
TNFAIP2	NA	214	318	388	309	166	409	387	379
EIF5	NA	4368	2858	4242	5175	5903	5863	3874	4936
LOC112541154	NA	21	2	9	14	11	29	16	8
LOC103048072	NA	0	0	0	0	0	0	1	0
LOC103048311	NA	0	0	1	0	0	0	0	0
LOC103048540	NA	331	567	739	538	416	493	758	719
LOC103048771	NA	2	0	3	2	1	1	2	4
LOC103049005	NA	65	52	106	108	72	100	144	85
IGSF9B	NA	46	98	43	15	26	16	55	37
LOC103049494	NA	1	2	0	0	0	4	2	0
LOC103049734	NA	638	1000	1131	985	789	808	1220	1175
SLC38A8	NA	0	0	3	0	0	2	0	0
NECAB2	NA	0	0	0	0	1	0	0	0
SNX16	NA	223	121	213	241	267	273	215	239
CHMP4C	NA	897	942	1266	1535	1182	1334	1563	1365
ZFAND1	NA	295	163	248	482	400	492	252	235
IMPA1	NA	222	280	472	317	244	226	528	571
LOC103051738	NA	5	16	11	12	13	6	30	11
LOC103051979	NA	2511	5136	7294	5639	3721	2406	7076	8505
LOC103052215	NA	0	0	3	2	0	1	4	2
LOC103052764	NA	1225	4130	2655	1305	1634	4912	5240	2971
LOC103052991	NA	385	450	608	547	548	542	793	658
SDK1	NA	777	2276	1597	1287	1010	1722	2287	1780
LOC103053693	NA	2	3	9	6	1	8	5	7
PPDPFL	NA	351	226	343	817	563	819	355	494
LOC103054501	NA	36	18	39	57	63	61	42	38
LOC103054345	NA	34	36	67	78	87	63	66	85
NR2F1	NA	110	83	146	147	178	170	122	95
LOC103055052	NA	475	160	304	422	560	597	211	358
KRT222	NA	1	0	4	1	2	0	7	5
SMARCE1	NA	1658	1903	2150	2273	2530	2210	2284	1813
LOC112541155	NA	1	2	2	0	9	3	0	1
CCR7	NA	10	10	10	27	18	1	23	9
LOC112541156	NA	4	2	8	4	3	4	8	2
TNS4	NA	6	3	6	33	7	7	8	13
KIFAP3	NA	134	216	253	191	150	185	314	240
METTL11B	NA	2	0	0	0	0	0	0	0
GORAB	NA	67	135	129	117	91	127	196	140
LOC112541158	NA	1	10	2	0	4	12	10	3
LOC112541157	NA	3	27	16	6	2	19	51	7
LOC112541159	NA	1	9	14	0	3	6	22	11
LOC103057589	NA	239	174	350	300	229	282	387	345
FGFR2	NA	951	358	832	935	1138	1171	780	998
LAMA4	NA	2173	4691	4904	3676	2286	2741	6148	3789
TUBE1	NA	136	103	146	168	166	135	222	148
WISP3	NA	12	3	12	16	7	3	23	8
LOC107326234	NA	0	0	0	0	0	0	0	0
MAP3K4	NA	226	197	366	389	311	439	323	330
AGPAT4	NA	8	25	13	12	13	24	22	18
LOC103060385	NA	148	140	68	198	175	159	197	109
NAV3	NA	26	51	31	61	33	64	35	30
LOC112541160	NA	0	0	2	1	0	2	0	1
KANK4	NA	7	19	24	12	8	5	47	11
LOC112541161	NA	0	0	0	0	0	0	0	0
PATJ	NA	147	63	98	189	180	152	165	153
LOC103061362	NA	0	0	0	0	3	0	0	0
SHC2	NA	12	9	17	366	18	29	33	13
MADCAM1	NA	14	9	13	2	5	6	6	4
LOC103061822	NA	384	420	659	556	514	748	711	582
TPGS1	NA	320	572	455	459	365	504	444	392
CDC34	NA	687	1375	840	920	731	1120	1093	824
BSG	NA	21555	27309	35189	30910	28313	37593	27146	36088
LOC103063662	NA	11	9	9	17	16	20	17	19
HTR1F	NA	2	1	0	0	0	0	1	2
LOC103064134	NA	74	65	104	95	82	99	123	79
GIPC1	NA	405	1016	786	536	376	544	1140	843
DNAJB1	NA	1083	1185	2334	2794	1828	2375	1951	2543
LOC112541163	NA	216	270	420	492	324	525	356	551
TECR	NA	153	318	236	232	205	242	281	236
NDUFB7	NA	3290	5272	4422	4428	3918	3976	5338	5102
LOC103065817	NA	7	12	19	9	14	10	31	35
LOC103066058	NA	22	22	8	37	22	35	56	32
TP53I11	NA	169	347	224	247	213	458	391	190
TSPAN18	NA	98	263	295	225	169	636	379	301
LOC103067093	NA	3178	6679	5872	5453	3034	4211	6137	5487
PLEKHG3	NA	206	370	486	269	248	294	307	707
NUP160	NA	598	412	632	861	646	841	509	693
FNBP4	NA	3965	1653	2754	5324	5450	5671	2932	2896
AGBL2	NA	5	15	5	11	2	2	0	6
USP25	NA	1073	490	1053	1379	1392	1478	1138	1131
LRRC3B	NA	28	12	43	41	24	8	14	19
LIMA1	NA	236	502	780	492	329	443	753	740
LOC103049006	NA	3	9	18	13	25	14	7	13
CERS5	NA	960	545	1369	1614	1554	1642	1339	1594
LOC103049170	NA	901	1426	2057	1423	1125	1247	2718	2561
GPD1	NA	1624	1441	2414	1591	1988	1323	1944	2822
SMARCD1	NA	594	1241	1172	1119	803	1060	1115	1105
ASIC1	NA	22	31	37	48	22	45	30	55
LOC112541164	NA	3	0	3	0	2	0	0	1
LHX8	NA	17	3	9	24	17	14	9	18
SLC44A5	NA	697	853	830	939	584	902	918	981
LOC103051504	NA	243	328	496	521	326	381	399	558
SLC4A5	NA	0	0	1	1	1	2	1	1
MTHFD2	NA	350	630	541	520	410	558	550	626
BOLA3	NA	1118	1193	1167	1498	1414	1219	1468	1247
LOC103052455	NA	144	130	173	223	199	260	187	181
ATP6AP1L	NA	0	0	0	0	0	1	0	0
LOC103052694	NA	9512	6671	8683	11941	13691	11969	6754	9421
LOC103052925	NA	10776	7208	10565	13128	15074	12877	8253	11083
ATG10	NA	372	213	345	369	426	356	373	309
CCT7	NA	2433	6929	4865	3658	3229	3454	5566	4728
FBXO41	NA	1	4	0	1	3	0	2	0
EGR4	NA	0	0	0	0	0	0	0	0
ALMS1	NA	216	390	280	355	297	347	375	291
LOC112541166	NA	57	67	71	62	64	53	72	60
SFMBT2	NA	29	64	42	44	16	100	90	48
LOC103055225	NA	13	111	60	23	28	99	86	87
ITIH5	NA	181	801	559	270	266	1117	727	478
ITIH2	NA	0	0	0	0	0	0	0	0
TES	NA	935	2175	2502	1557	1144	1792	2526	2518
TFEC	NA	2	0	1	4	0	0	6	1
LOC103057914	NA	259	5	6	0	3	3	0	330
LOC103056405	NA	40	102	135	83	65	111	121	116
LOC112541169	NA	0	0	0	0	1	0	0	0
LOC103056638	NA	235	362	389	357	223	307	454	323
LOC103057193	NA	503	769	770	722	582	786	724	621
LOC103057432	NA	313	422	515	398	267	434	483	387
LOC103057670	NA	210	164	382	311	320	479	301	250
TSPAN31	NA	807	1677	1944	1318	1003	1378	2204	1918
CDK4	NA	1083	1213	1184	1653	1401	1499	1112	989
MARCH9	NA	3	0	7	1	2	4	2	3
LOC103060795	NA	0	1	0	0	1	0	1	0
METTL1	NA	94	148	105	151	154	190	131	153
EEF1AKMT3	NA	145	91	133	187	192	155	153	118
CLDN11	NA	41	3	31	13	54	13	16	22
SKIL	NA	216	161	267	207	121	330	376	349
PRKCI	NA	555	453	900	893	916	1077	727	1125
PHC3	NA	362	404	378	475	357	476	425	360
LOC112541171	NA	2	1	0	4	0	1	1	0
LOC112541172	NA	0	0	0	0	0	0	0	0
GPR160	NA	91	139	134	94	133	154	171	155
FAT1	NA	1600	2061	2255	2362	2130	2919	2366	2533
CFAP57	NA	2	2	4	7	7	0	1	2
EBNA1BP2	NA	546	247	288	788	657	695	294	257
FAM183A	NA	125	136	148	180	182	176	169	142
PIF1	NA	3	18	1	2	0	0	16	0
SNAPC2	NA	158	84	127	355	226	227	227	148
LOC103065326	NA	161	156	152	325	188	258	244	152
LOC103064217	NA	1	8	14	7	7	4	14	5
LOC103064457	NA	0	0	1	1	0	4	3	3
CX3CR1	NA	4	7	6	13	5	17	11	9
CASP14	NA	415	522	827	737	491	616	910	872
SLC25A38	NA	192	370	291	345	257	286	360	310
RPSA	NA	21278	23773	19569	23853	31311	25681	18948	19839
LOC112541173	NA	16	15	20	23	33	21	30	8
LOC112541174	NA	8	2	12	13	15	5	8	10
TMC2	NA	5	4	5	8	9	7	0	7
LOC112541175	NA	3	22	16	6	4	1	18	10
CCDC170	NA	25	16	52	149	31	87	122	44
ARMT1	NA	177	295	333	263	193	260	336	415
RMND1	NA	96	113	243	194	170	205	246	208
ZBTB2	NA	177	180	206	264	178	246	182	191
AKAP12	NA	2067	2929	3526	2960	2306	3016	3830	3807
TIAL1	NA	1384	795	1689	2132	1917	2181	1776	1798
BAG3	NA	2460	3564	4309	3142	2683	3324	4112	4879
INPP5F	NA	407	144	364	526	453	507	449	366
MCMBP	NA	249	295	411	395	452	421	467	380
MITF	NA	786	628	804	911	759	1011	836	770
LOC103051352	NA	5637	7996	5424	4606	7416	6367	6071	5702
CDCP2	NA	0	0	0	1	0	0	0	0
TCEANC2	NA	131	189	198	190	110	190	218	186
TMEM59	NA	1849	2075	2633	2526	2357	2789	3128	2528
LDLRAD1	NA	1	0	0	0	3	2	3	0
LRRC42	NA	33	81	147	89	25	67	175	141
HSPB11	NA	24	55	59	45	31	44	103	57
DIO1	NA	34	17	22	87	48	67	54	26
YIPF1	NA	483	250	215	608	546	608	225	129
NDC1	NA	76	203	175	146	84	139	146	127
LOC103057759	NA	74	55	79	89	78	66	70	69
LOC103056326	NA	113	106	197	173	139	163	218	227
HINT3	NA	268	291	470	390	293	387	443	489
NCOA7	NA	333	261	515	698	397	635	510	466
TRNAE-CUC_1	NA	0	0	0	0	0	0	0	0
HEY2	NA	927	2610	1917	893	1408	3263	2188	2282
RALYL	NA	183	101	239	406	265	505	262	205
SLC7A13	NA	0	3	3	0	0	0	0	0
LRRCC1	NA	106	72	168	240	164	221	244	193
E2F5	NA	38	59	76	59	51	55	92	107
CUNH8orf59	NA	139	121	199	261	221	238	166	243
LOC103058870	NA	382	150	162	259	542	267	232	210
KCNA4	NA	0	0	0	0	0	0	0	0
LOC103060068	NA	3	1	0	0	0	0	2	0
LOC103060305	NA	0	5	7	2	4	5	13	2
LOC112541177	NA	0	0	0	0	1	0	0	0
GTF2A1	NA	1432	899	1763	2461	1936	2374	1907	1558
TSHR	NA	9	2	7	2	10	6	4	5
CEP128	NA	4	8	11	24	13	12	39	17
VARS	NA	445	1514	1064	692	591	647	1230	1096
LSM2	NA	877	1167	1097	1205	1210	1006	1226	961
LOC112541178	NA	0	0	0	0	0	0	0	0
LOC112541179	NA	0	0	0	0	0	0	0	0
TCF19	NA	0	94	15	6	3	16	50	4
CCHCR1	NA	175	111	191	252	255	262	191	194
PCBD1	NA	115	413	745	84	67	45	549	1430
LOC103062874	NA	690	1683	1513	963	723	901	1986	1802
LOC112541180	NA	52	205	181	258	108	197	250	193
CEMIP	NA	7	204	148	49	23	28	262	130
MESD	NA	868	513	742	1125	1070	1108	624	694
TLNRD1	NA	445	1137	1074	743	480	763	1306	784
CFAP161	NA	28	52	38	58	27	24	61	51
TEX264	NA	1260	1836	1844	1928	1461	2154	2148	1939
LOC112541181	NA	32	0	13	55	82	87	5	29
RFT1	NA	254	268	373	324	281	401	376	411
PTPRA	NA	1018	1973	1818	1481	1273	1647	2429	1917
GNRH2	NA	0	0	3	4	0	0	1	3
MRPS26	NA	1110	1627	1393	1393	1557	1334	1498	1473
LOC103065411	NA	1	0	0	4	2	1	0	0
LOC103065657	NA	0	0	0	0	0	0	0	0
UBOX5	NA	300	395	373	492	448	522	399	399
FASTKD5	NA	394	479	452	595	364	532	495	497
LZTS3	NA	24	105	54	59	29	69	84	62
PAX2	NA	0	0	0	0	1	0	0	0
LOC112541183	NA	0	0	0	0	0	0	0	0
LOC112541184	NA	8	29	24	20	14	16	12	16
LOC103067860	NA	135	143	147	114	124	168	153	201
LOC103068091	NA	0	0	0	0	0	2	0	0
LOC103048005	NA	770	1315	1109	991	773	1367	1249	1444
PHOX2B	NA	0	0	0	0	0	0	0	0
TMEM33	NA	409	567	578	580	528	575	604	691
SLC30A9	NA	1147	1818	1626	1507	1393	1730	1871	1549
BEND4	NA	0	0	0	0	0	0	0	0
LOC103049099	NA	28	11	15	15	18	11	10	29
LOC103050326	NA	75	211	211	96	58	82	297	200
AFAP1	NA	264	532	603	439	301	365	816	625
SYNDIG1	NA	30	15	37	62	42	57	36	34
B3GAT2	NA	257	389	409	402	371	436	562	432
LOC103051274	NA	761	1096	1022	1153	957	980	1042	1206
CD74	NA	1173	2860	2367	4618	1881	2517	5074	2355
RPS14	NA	19714	11969	17527	22011	28896	23136	13545	18670
LOC103052532	NA	25	59	44	11	9	7	35	39
LOC103053775	NA	34	105	45	77	69	107	111	71
KCNAB2	NA	39	249	121	90	72	48	215	97
CHD5	NA	9	5	15	6	3	4	0	8
RPL22	NA	5898	4019	4620	7422	8668	7525	4308	5078
LOC103054253	NA	639	180	117	582	884	835	226	64
ESRP1	NA	0	0	0	4	0	0	4	0
VIRMA	NA	821	842	823	1218	973	1129	852	852
LOC103055463	NA	389	204	296	542	515	544	365	337
LOC112541185	NA	1	2	5	2	2	5	4	5
LOC103055923	NA	1874	2631	4468	2929	2472	3358	4733	4658
LOC112541186	NA	0	3	2	1	0	4	2	3
OMA1	NA	689	1279	1156	903	801	971	1213	1262
TACSTD2	NA	75	19	65	151	106	107	51	80
MYSM1	NA	932	420	1054	1588	1190	1457	980	1029
LOC112541187	NA	0	0	0	1	0	0	0	3
LOC103057760	NA	115	308	218	339	76	86	422	378
PLCL1	NA	68	85	69	69	76	109	118	91
LOC103058627	NA	54	80	77	77	42	65	146	75
ADPGK	NA	377	812	774	572	429	574	857	737
BBS4	NA	190	191	165	282	244	272	187	143
ARIH1	NA	1488	2137	1824	2385	1962	2244	2572	2128
HEXA	NA	372	1052	761	624	464	532	986	694
BIN1	NA	254	511	391	339	309	385	412	382
GPR12	NA	0	0	0	0	0	0	0	0
WASF3	NA	34	28	20	52	39	52	23	14
CDK8	NA	256	158	392	345	338	326	387	373
RNF6	NA	223	142	287	392	302	409	263	276
LOC103061524	NA	1	0	0	0	0	0	0	0
USP7	NA	2244	3150	3228	3231	2635	3259	4203	3133
LOC103062219	NA	2501	3119	3925	3338	3083	3252	3394	3681
TEKT4	NA	22	12	20	38	32	21	38	25
SCHIP1	NA	2993	3666	5274	4260	3958	5074	5938	5870
PARD3	NA	87	112	141	101	68	96	159	95
PLPP5	NA	317	570	535	385	381	311	612	506
DDHD2	NA	478	651	665	681	529	659	637	654
BAG4	NA	578	635	907	868	762	937	1078	820
LSM1	NA	674	1431	927	922	778	970	1154	1083
LOC103064613	NA	1430	3311	2024	2041	1453	1805	2850	1645
STAR	NA	5	10	9	18	2	2	10	5
PARD6B	NA	53	70	72	100	36	83	108	59
BCAS4	NA	198	378	392	333	218	329	632	407
ADNP	NA	913	861	1547	1366	1102	1294	1423	1547
DPM1	NA	323	310	541	454	407	517	511	522
ADGRL4	NA	571	1104	1445	869	666	712	1858	1303
LOC112541190	NA	0	0	0	0	0	0	0	0
LOC112541192	NA	1	8	5	7	8	8	11	7
EFCAB8	NA	20	11	25	45	29	26	20	29
MAPRE1	NA	3856	4946	5103	5317	5411	5729	5650	5436
DNMT3B	NA	9	7	7	28	18	33	15	10
COMMD7	NA	1338	2649	2065	2686	1995	3218	2893	1740
LOC103049007	NA	51	47	39	14	53	26	43	41
TSR2	NA	179	210	225	265	215	236	193	233
FGD1	NA	536	745	972	1048	644	994	872	855
GNL3L	NA	1427	1024	1000	1754	1997	1935	993	1059
LOC103048400	NA	393	664	523	604	621	856	477	454
LOC103049736	NA	0	0	0	0	0	0	1	0
LOC103049250	NA	1	2	3	5	3	2	4	1
LOC103049495	NA	76	261	165	77	93	119	363	142
ADARB1	NA	131	151	186	237	148	230	126	201
COL4A1	NA	2374	14281	5157	5512	3209	5079	11798	4631
LOC103050644	NA	0	1	0	6	0	2	2	3
LOC103051353	NA	0	0	0	2	0	15	5	3
LOC103050872	NA	3	2	9	10	2	59	13	25
LOC103051109	NA	31	1	5	62	5	20	15	3
LOC103051592	NA	31	0	7	31	6	10	8	2
LOC107326237	NA	0	1	0	0	0	0	0	0
LOC103052057	NA	45	81	37	50	50	69	45	41
PSMD2	NA	1409	3336	2619	2229	1862	1967	2962	2589
EIF4G1	NA	3226	7298	5797	5116	3680	4696	6994	6224
LOC112541194	NA	0	2	0	3	1	0	1	0
LOC112541195	NA	0	0	0	0	0	0	0	0
CHKA	NA	1900	734	1423	2076	1977	1961	1964	1239
KMT5B	NA	754	470	866	1061	814	1237	914	889
LOC103054898	NA	1	5	2	2	2	9	11	3
GALC	NA	314	264	442	546	487	581	558	460
ZNF831	NA	24	17	33	47	40	39	20	35
LOC103055838	NA	47	70	81	59	36	66	112	93
EDN3	NA	0	1	1	0	0	1	0	0
LOC103056079	NA	241	152	257	248	185	208	303	296
LOC103056485	NA	0	0	5	5	1	12	0	1
LOC103056726	NA	32	44	42	10	28	18	21	32
LOC103056965	NA	6	230	12	7	2	5	214	7
LOC112541197	NA	24	9	22	9	17	10	32	17
RGS7	NA	3	3	10	19	6	35	14	6
BABAM2	NA	365	666	582	547	519	539	667	606
LOC103058628	NA	87	150	154	106	79	83	198	105
MFSD1	NA	545	408	609	829	712	879	665	478
LOC103059265	NA	57	102	91	92	81	107	87	114
LOC103059506	NA	421	1205	931	854	517	982	1753	934
GFM1	NA	592	1628	1787	880	639	862	1959	2280
LOC103060882	NA	42	105	60	84	66	100	104	74
MLF1	NA	10144	5553	16196	13157	12142	13069	15011	17867
CUNH11orf87	NA	0	0	0	0	0	0	0	0
LOC107326238	NA	104	148	96	150	97	151	125	100
CCDC106	NA	323	202	395	399	428	460	309	332
U2AF2	NA	1058	1793	1666	1805	1299	1437	1661	1694
EPN1	NA	827	2387	1739	1273	1135	1281	2132	1625
TEX51	NA	83	146	144	123	128	122	211	170
IZUMO3	NA	2	0	1	0	0	1	6	8
IZUMO2	NA	0	0	0	0	2	0	0	4
LOC103062396	NA	1505	3363	3400	2531	1975	2744	3996	3452
ISOC2	NA	782	2091	1441	1215	780	920	2089	1491
ANKRD11	NA	1997	1667	2361	2862	2162	2888	2612	2286
SPG7	NA	6115	13358	11011	8957	7895	8876	11118	10523
RPL13	NA	9801	10349	9476	11902	14269	11139	8632	9784
LOC112541203	NA	0	2	0	0	0	0	0	0
LOC103064857	NA	0	0	0	0	0	0	0	0
LOC103065092	NA	2	5	1	0	2	2	6	1
LOC112541204	NA	183	469	358	228	199	270	351	369
OPA1	NA	2061	4210	4227	2753	2921	3287	3806	3970
LOC103065327	NA	172	224	214	289	251	257	252	266
THBS2	NA	296	1617	1220	564	475	422	1702	1126
LOC112541205	NA	1	1	0	0	0	0	0	0
RAB3B	NA	0	8	3	0	4	4	0	11
TXNDC12	NA	757	563	889	1122	1115	1249	1170	1047
BTF3L4	NA	2188	1840	2734	3071	2925	3153	2911	2788
ZFYVE9	NA	813	507	948	855	915	1148	818	915
CC2D1B	NA	384	392	717	567	438	582	609	750
ORC1	NA	18	37	46	24	16	23	67	33
CATSPERB	NA	2	0	1	5	1	3	0	0
PPP4R3A	NA	657	679	873	1045	841	1167	938	776
CCDC88C	NA	173	228	318	244	181	283	298	344
GPR68	NA	67	60	63	52	66	71	60	54
LOC112541206	NA	30	13	55	24	39	45	53	48
OSTF1	NA	402	607	678	694	424	520	1017	771
NMRK1	NA	268	271	281	354	399	381	435	296
CARNMT1	NA	167	203	284	269	195	289	409	348
TRPM6	NA	41	33	38	46	65	52	39	26
LDAH	NA	23	53	38	31	14	14	49	31
LOC103051110	NA	1037	2773	2641	1518	1250	1429	2908	2757
LOC107326240	NA	812	1268	931	1321	1152	1256	1298	928
LOC103052058	NA	949	1463	1100	1479	1383	1276	1306	1068
RARRES2	NA	359	157	186	416	547	542	126	159
LRRC61	NA	37	29	57	71	60	51	42	46
ZNF467	NA	1590	2891	2257	2301	2194	1874	2721	2024
LOC112541210	NA	253	448	352	428	359	483	657	363
LOC107326241	NA	4	12	5	16	8	33	19	12
SSPO	NA	8	2	1	1	0	1	0	1
LOC103052992	NA	1171	1807	1565	2122	1645	1958	1720	1353
LOC112541211	NA	1	0	0	0	0	0	1	0
LOC112541209	NA	6	0	4	5	12	10	1	3
LOC103053225	NA	253	282	434	579	415	549	517	439
CFAP58	NA	1	0	0	0	0	0	0	0
MAN2A1	NA	163	170	238	297	197	325	281	220
MYO18A	NA	4749	7373	5686	6766	5908	8766	6685	5372
LOC112541213	NA	4	0	4	1	3	3	1	0
NUFIP2	NA	1859	3771	2495	2716	2055	2894	3528	2574
LOC103054899	NA	1294	2526	1696	1844	1298	1894	2139	1782
METTL4	NA	248	392	330	435	369	374	458	359
NDC80	NA	20	95	21	20	18	5	185	22
GPR149	NA	0	0	0	0	1	0	0	0
DHX36	NA	729	662	964	1127	879	926	1047	977
ARHGEF26	NA	69	36	63	78	98	85	40	41
LOC112541214	NA	1	1	3	0	0	1	0	2
LOC112541215	NA	77	152	126	118	124	141	207	117
LOC103056639	NA	0	0	0	0	1	0	0	0
LOC103057353	NA	0	0	0	0	0	0	0	0
BRWD3	NA	337	348	378	228	322	378	459	407
LOC112541216	NA	5	0	4	0	4	5	5	4
LOC103057590	NA	221	593	686	377	321	377	791	714
ABCC3	NA	306	475	548	484	400	558	571	568
ANKRD40	NA	381	381	689	693	500	727	715	667
LUC7L3	NA	2554	963	2782	4482	3918	3911	3395	3731
LOC103060546	NA	11	5	13	10	7	17	4	8
LATS2	NA	1110	859	1392	1386	1492	1684	1186	1460
XPO4	NA	184	208	327	370	237	357	340	320
EEF1AKMT1	NA	363	717	897	620	497	544	1076	922
IL17D	NA	190	203	220	247	268	93	191	221
IFT88	NA	103	104	105	162	167	198	139	129
LOC112541217	NA	14	27	40	19	10	14	31	29
LOC103062220	NA	74	199	145	120	66	137	200	121
LOC112541218	NA	44	68	54	140	71	82	66	106
TEK	NA	44	115	119	80	43	83	138	96
IFT74	NA	198	112	203	301	300	349	243	217
LRRC19	NA	178	74	183	332	224	327	234	216
PLAA	NA	512	755	893	846	644	808	950	900
CAAP1	NA	418	457	584	678	453	573	573	571
BDNF	NA	4	17	9	14	0	8	12	4
LOC103063893	NA	4141	7093	5626	5932	4391	5161	8504	4954
PAQR3	NA	403	362	544	533	515	702	546	556
BMP2K	NA	420	632	763	772	477	674	880	698
TEDC2	NA	54	112	76	90	62	90	81	46
LOC103064944	NA	5	30	8	22	14	73	16	7
CCNF	NA	1	19	7	1	4	6	18	1
LOC112541220	NA	61	17	24	117	118	86	42	16
LOC103065658	NA	244	121	87	745	574	492	192	112
LOC112541221	NA	6	0	0	2	8	5	4	0
LOC103065903	NA	1333	1580	1529	3091	2606	2038	2144	1033
PIK3R4	NA	622	521	590	807	650	633	1003	547
THSD7B	NA	4	8	10	7	3	4	15	1
LOC103066537	NA	13	12	8	7	15	49	25	24
